bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,taxa_condominio,preco_aluguel,iptu_ano
Vila Olímpia,Flat,42.0,1,0,1,1,700.0,2310.0,140.0
Jardim Paulista,Apartamento,34.0,1,0,1,1,584.0,1767.0,70.0
Vila Olímpia,Kitnet,40.0,1,0,1,1,454.0,3255.0,62.0
Cidade Monções,Apartamento,110.0,1,0,2,1,1032.0,2922.0,217.0
Jardim Leonor,Apartamento,328.0,1,3,3,4,2763.0,13846.0,1257.0
Cidade São Francisco,Apartamento,63.0,1,0,3,1,386.0,1767.0,979.0
Ipiranga,Apartamento,146.0,5,3,3,3,955.0,4665.0,323.0
Pinheiros,Apartamento,77.0,1,0,1,1,766.0,3216.0,168.0
Vila Mascote,Apartamento,65.0,2,0,2,1,410.0,1810.0,62.0
Santo Amaro,Apartamento,77.0,2,0,3,2,525.0,1854.0,105.0
Liberdade,Flat,28.0,1,0,1,1,840.0,2100.0,140.0
Itaim Bibi,Flat,36.0,1,0,1,1,700.0,2100.0,350.0
Indianópolis,Flat,28.0,1,0,1,1,489.0,1889.0,210.0
Consolação,Flat,52.0,1,0,1,1,861.0,2653.0,147.0
Bela Vista,Flat,48.0,1,0,1,1,714.0,2352.0,98.0
Itaim Bibi,Flat,30.0,1,0,1,1,840.0,2100.0,140.0
Consolação,Flat,28.0,1,0,1,1,749.0,1854.0,105.0
Jardim Paulista,Flat,42.0,1,1,1,1,687.0,2342.0,107.0
Cerqueira César,Flat,40.0,1,1,1,2,1330.0,5320.0,280.0
Cerqueira César,Flat,27.0,1,0,1,1,489.0,1889.0,210.0
Indianópolis,Flat,26.0,1,0,1,1,861.0,1949.0,150.0
Jardim Paulista,Flat,42.0,1,0,1,1,840.0,2310.0,140.0
Moema,Flat,25.0,1,0,1,1,840.0,1767.0,140.0
Itaim Bibi,Flat,32.0,1,0,1,1,864.0,2429.0,91.0
Indianópolis,Flat,45.0,2,1,1,1,692.0,2156.0,84.0
Vila Olímpia,Flat,30.0,1,0,1,1,784.0,2268.0,112.0
Vila Campo Grande,Apartamento,120.0,4,1,3,2,595.0,2695.0,210.0
Paraíso,Flat,67.0,1,0,1,2,875.0,3996.0,203.0
Vila Mariana,Flat,100.0,3,2,3,2,2232.0,7266.0,433.0
Vila Sofia,Apartamento,74.0,2,1,3,2,454.0,2029.0,70.0
Jardim Anália Franco,Apartamento,137.0,5,3,3,3,1470.0,3080.0,770.0
Planalto Paulista,Apartamento,45.0,1,0,1,1,679.0,2366.0,84.0
Chácara Santo Antônio,Apartamento,30.0,1,0,1,1,926.0,3166.0,90.0
Jd Paulista,Flat,38.0,1,0,1,1,861.0,2401.0,129.0
Vila Nova Conceição,Apartamento,57.0,1,1,1,1,541.0,5791.0,128.0
Consolação,Kitnet,22.0,1,0,1,1,386.0,2499.0,91.0
Planalto Paulista,Apartamento,195.0,1,0,3,3,1805.0,6706.0,742.0
Cerqueira César,Flat,42.0,1,0,1,1,630.0,2590.0,70.0
Jardim das Vertentes,Apartamento,82.0,2,1,3,2,386.0,1983.0,200.0
Jardim das Vertentes,Apartamento,60.0,2,1,2,1,386.0,1767.0,1064.0
Brooklin Paulista,Apartamento,70.0,2,0,3,1,465.0,2110.0,62.0
Moema,Flat,35.0,1,0,1,1,770.0,2310.0,70.0
Vila Suzana,Apartamento,226.0,5,3,3,4,1680.0,4480.0,700.0
Bela Vista,Flat,48.0,1,1,1,1,700.0,2555.0,105.0
Indianópolis,Flat,26.0,1,1,1,1,979.0,2029.0,140.0
Bosque da Saúde,Apartamento,220.0,4,2,4,4,1505.0,5355.0,595.0
Jardim Cordeiro,Casa,360.0,5,3,4,4,2800.0,13300.0,1120.0
